Tweet,Sentimiento_Label
"Junto con @IndraCompany lanzamos 10 becas destinadas a la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻
Estas becas están dirigidas a personas con #discapacidad que cuenten con formaciones #STEM 
📅Hasta el 28/02
📲 https://t.co/ubL3GyxF4V https://t.co/UP09YF3eb9",negativo
"Junto a @FUniversia otorgamos 10 becas destinadas a la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 
💻 Estas becas están dirigidas a personas con #discapacidad con formaciones #STEM  
📅Hasta el 28/02 https://t.co/wYjp06QE9c https://t.co/qb8rHZOxtG https://t.co/uIIWUf5IZH",negativo
Hoy tenemos reto de tripulaciones @TheBridge_Tech Un día muy especial para todos! Enhorabuena a todos los alumnos que se gradúan hoy. https://t.co/f0nCFK8asz,negativo
"Nuevo evento🤩""La Inteligencia Artificial y la Ley: lo que hay y lo que viene"" a cargo de @rayadvd

📆25 de enero en @TheBridge_Tech

¡Saca ya tus entradas!🎟️https://t.co/EG7QBigIgJ

#ResponsibleAI #AILaw #Compliance @nodosenlared 
@josepcurto",positivo
"El claustro de #DataScience de @TheBridge_Tech ha creado este ""escalofriante"" vídeo haciendo uso de Inteligencia Artificial con motivo del tema del #DesafíodeTripulaciones sobre la protección de las marcas ¡Alumnos y famosos se mezclan en este ejercicio de #deepface! #IA 🤯 https://t.co/3Eg8WYfV2p",positivo
"La directora de #ciberseguridad de @siemens @NataliaOropezaG  aboga por una sólida estrategia de ciberseguridad de manera proactiva, y no reaccionar ""tras haber tenido un ataque o una auditoría interna, instalando algunas medidas aquí y allí""⚔️ #Checkitout
https://t.co/3ZXCwOU8pT",positivo
"Del periodismo al marketing digital 🤸 esta es la historia de Blanca Gómez y su experiencia cursando el #bootcamp de #DigitalMarketingOps en @TheBridge_Tech ¡Dale al ▶! 

#digitaltalent #aceleratucarrera https://t.co/sU5Ogt3xGn",positivo
"Ciclo de Conferencias sobre Inteligencia Artificial Responsable curso 21-22:
""La Inteligencia Artificial y la Ley: lo que hay y lo que viene"" a cargo de @rayadvd 
El 25 de enero, en @TheBridge_Tech info: https://t.co/Zyvxg8uLb0 #ResponsibleAI #AILaw #Compliance | Cc @josepcurto https://t.co/ZqomfcYZ8j",positivo
Me encantaría saber que les enseñan sobre estadística en el super curso de data science de @TheBridge_Tech,negativo
"@cbusquets Hola, @TheBridge_Tech te da la opción de pagar una vez consigues trabajo. @uxerschool también te da opciones de pago. En mi opinión son los dos top de Madrid",positivo
"¿Quieres formarte en una de las profesiones que más futuro tienen en la actualidad?
Acuerdo entre @camaradesevilla y @TheBridge_Tech 
https://t.co/RyKjNHm0AE
#pymes #autonómos #emprendedores #Sevilla
#Actualidad #Noticias #NoticiasHoy",positivo
